"Fungsi";"Millis";"CPU";"Mem";"USS"
"DB Fetch Before";"1637862038802";"0.0";"148.40234375";"177.86328125"
"DB Fetch After";"1637862051164";"0.9";"151.7421875";"180.6796875"
"Encode Image Before0";"1637862051467";"25.6";"151.7421875";"180.6796875"
"Encode Image After0";"1637862099155";"24.975";"223.625";"246.4921875"
"Encode Image Before1";"1637862099457";"24.85";"224.1015625";"246.4921875"
"Encode Image After1";"1637862146951";"24.975";"223.390625";"246.4921875"
"Encode Image Before2";"1637862147252";"24.875";"224.1015625";"246.4921875"
"Encode Image After2";"1637862194797";"24.975";"224.0625";"246.4921875"
"Encode Image Before3";"1637862195100";"24.725";"224.0625";"246.4921875"
"Encode Image After3";"1637862242567";"24.975";"223.390625";"246.4921875"
"Encode Image Before4";"1637862242870";"25.625";"224.1015625";"246.4921875"
"Encode Image After4";"1637862290352";"25.0";"223.390625";"246.4921875"
"Encode Image Before5";"1637862290658";"24.55";"224.1015625";"246.4921875"
"Encode Image After5";"1637862338199";"24.975";"223.390625";"246.4921875"
"Encode Image Before6";"1637862338510";"24.925";"224.1015625";"246.4921875"
"Encode Image After6";"1637862386097";"24.975";"223.390625";"246.4921875"
"Encode Image Before7";"1637862386401";"24.725";"224.1015625";"246.4921875"
"Encode Image After7";"1637862433961";"24.975";"223.390625";"246.4921875"
"Face Recognition Before";"1637862434276";"25.375";"213.109375";"235.5"
"Face Recognition After";"1637862468742";"30.675";"252.94140625";"256.33984375"
